店家,分類,品項,尺寸,價格
米羅菜單 - 早餐店,厚片吐司類,起司厚片,,30
米羅菜單 - 早餐店,總匯三明治,雞腿總匯,,75
米羅菜單 - 早餐店,歐式燒餅類,燒餅鮪魚蛋,,50
米羅菜單 - 早餐店,飲料類,紅茶豆漿,,25
米羅菜單 - 早餐店,其他類,熱狗蛋捲,,35
米羅菜單 - 早餐店,吐司類,雞肉蛋吐司,,50
米羅菜單 - 早餐店,漢堡類,燻雞蛋堡,,55
米羅菜單 - 早餐店,蛋餅類,蔬菜蛋餅,,40
米羅菜單 - 早餐店,飲料類,鮮奶茶,,40
米羅菜單 - 早餐店,其他類,鮮肉餅,,30
米羅菜單 - 早餐店,吐司類,豬肉蛋吐司,,50
米羅菜單 - 早餐店,漢堡類,豬柳蛋堡,,60
米羅菜單 - 早餐店,蛋餅類,玉米蛋餅,,40
米羅菜單 - 早餐店,其他類,蘿蔔糕,,35
米羅菜單 - 早餐店,吐司類,燒肉蛋吐司,,55
米羅菜單 - 早餐店,漢堡類,蝦堡,,60
米羅菜單 - 早餐店,蛋餅類,鮪魚蛋餅,,45
米羅菜單 - 早餐店,其他類,玉米濃湯,,30
米羅菜單 - 早餐店,吐司類,燻雞蛋吐司,,55
米羅菜單 - 早餐店,漢堡類,雙豬起司堡,,65
米羅菜單 - 早餐店,蛋餅類,燒肉蛋餅,,50
米羅菜單 - 早餐店,其他類,雞米花,,30
米羅菜單 - 早餐店,吐司類,豬柳蛋吐司,,55
米羅菜單 - 早餐店,漢堡類,雞腿蛋堡,,75
米羅菜單 - 早餐店,蛋餅類,燻雞蛋餅,,50
米羅菜單 - 早餐店,其他類,德式香腸,,35
米羅菜單 - 早餐店,吐司類,丹麥蛋吐司,,45
米羅菜單 - 早餐店,漢堡類,加起司,,10
米羅菜單 - 早餐店,蛋餅類,豬柳蛋餅,,50
米羅菜單 - 早餐店,其他類,一口餃,,30
米羅菜單 - 早餐店,吐司類,法國吐司,,45
米羅菜單 - 早餐店,蛋餅類,漢堡肉蛋餅,,50
米羅菜單 - 早餐店,其他類,香蔥吉拿棒＊2,,30
米羅菜單 - 早餐店,吐司類,加起司,,10
米羅菜單 - 早餐店,蛋餅類,加起司,,10
米羅菜單 - 湯麵店,湯麵,牛肉麵,,90
米羅菜單 - 湯麵店,湯麵,豬肉湯麵,,70
米羅菜單 - 湯麵店,乾麵,麻醬乾麵,,50
米羅菜單 - 湯麵店,乾麵,蔥油拌麵,,50
米羅菜單 - 湯麵店,乾麵,肉燥乾麵,,50
米羅菜單 - 湯麵店,套餐,牛肉麵套餐,,110
米羅菜單 - 湯麵店,套餐,豬肉湯麵套餐,,90
米羅菜單 - 湯麵店,套餐,麻醬乾麵套餐,,70
米羅菜單 - 湯麵店,套餐,蔥油拌麵套餐,,70
米羅菜單 - 湯麵店,套餐,肉燥乾麵套餐,,70
米羅菜單 - 湯麵店,套餐,水餃套餐,10顆,70
米羅菜單 - 湯麵店,套餐,水餃套餐,13顆,85
米羅菜單 - 湯麵店,套餐,水餃套餐,15顆,95
米羅菜單 - 湯麵店,湯品,頁丸湯,,25
米羅菜單 - 湯麵店,湯品,紫菜蛋花湯,,25
米羅菜單 - 湯麵店,湯品,餛飩湯,,25
米羅菜單 - 鍋燒店,鍋燒系列,意麵,,55
米羅菜單 - 鍋燒店,鍋燒系列,雞絲,,55
米羅菜單 - 鍋燒店,鍋燒系列,烏龍,,55
米羅菜單 - 鍋燒店,鍋燒系列,拉麵,,55
米羅菜單 - 鍋燒店,鍋燒系列,米粉,,55
米羅菜單 - 鍋燒店,鍋燒系列,冬粉,,55
米羅菜單 - 鍋燒店,鍋燒系列,麵線,,55
米羅菜單 - 鍋燒店,鍋燒系列,牛肉,小,65
米羅菜單 - 鍋燒店,鍋燒系列,牛肉,大,75
米羅菜單 - 鍋燒店,鍋燒系列,素食,小,50
米羅菜單 - 鍋燒店,鍋燒系列,素食,大,60
米羅菜單 - 鍋燒店,粥系列,海產粥,,70
米羅菜單 - 鍋燒店,粥系列,鮮魚粥,,70
米羅菜單 - 鍋燒店,粥系列,鍋燒粥,,55
米羅菜單 - 鍋燒店,其它系列,鮮魚麵線,,70
米羅菜單 - 鍋燒店,其它系列,海產麵線,,70
米羅菜單 - 鍋燒店,其它系列,鴨肉冬粉,,60
